NOMBRE_CAMPO,LONGITUD,TIPO,NEMÓNICO,CATÁLOGO,RANGO_CLAVES     
Pregunta 5c Horas sábado,2,C,p5c_hsa,,"00-24,98,99"
Pregunta 5c Minutos sábado,2,C,p5c_msa,,00-59
Pregunta 5c Horas domingo,2,C,p5c_hdo,,"00-24,98,99"
Pregunta 5c Minutos domingo,2,C,p5c_mdo,,00-59
Pregunta 5c Total de horas,3,C,p5c_thrs,,"001-998,999"
Pregunta 5c Total de días (campo adicional contenido en la base de datos),1,C,p5c_tdia,,"1-7,9"
Pregunta 5d ¿Ese es el número de horas que habitualmente trabaja ...?,1,C,p5d,p5d,"1-2,9"
Pregunta 5e Horas y minutos o no tiene horario regular de trabajo,1,C,p5e1,p5e1,[1-2]
Pregunta 5e Horas lunes,2,C,p5e_hlu,,"00-24,98,99"
Pregunta 5e Minutos lunes,2,C,p5e_mlu,,00-59
Pregunta 5e Horas martes,2,C,p5e_hma,,"00-24,98,99"
Pregunta 5e Minutos martes,2,C,p5e_mma,,00-59
Pregunta 5e Horas miércoles,2,C,p5e_hmi,,"00-24,98,99"
Pregunta 5e Minutos miércoles,2,C,p5e_mmi,,00-59
Pregunta 5e Horas jueves,2,C,p5e_hju,,"00-24,98,99"
Pregunta 5e Minutos jueves,2,C,p5e_mju,,00-59
Pregunta 5e Horas viernes,2,C,p5e_hvi,,"00-24,98,99"
Pregunta 5e Minutos viernes,2,C,p5e_mvi,,00-59
Pregunta 5e Horas sábado,2,C,p5e_hsa,,"00-24,98,99"
Pregunta 5e Minutos sábado,2,C,p5e_msa,,00-59
Pregunta 5e Horas domingo,2,C,p5e_hdo,,"00-24,98,99"
Pregunta 5e Minutos domingo,2,C,p5e_mdo,,00-59
Pregunta 5e Total de horas,3,C,p5e_thrs,,"001-998,999"
Pregunta 5e Total de días (campo adicional contenido en la base de datos),1,C,p5e_tdia,,"1-7,9"
Pregunta 5f ¿Cuál es el motivo principal por el que la semana pasada ... no trabajó las horas habituales?,2,C,p5f,p5f,"01-12,99"
Pregunta 5g Opción 1: enero,2,C,p5g1,p5g1,"01,blanco"
Pregunta 5g Opción 2: febrero,2,C,p5g2,p5g2,"02,blanco"
Pregunta 5g Opción 3: marzo,2,C,p5g3,p5g3,"03,blanco"
Pregunta 5g Opción 4: abril,2,C,p5g4,p5g4,"04,blanco"
Pregunta 5g Opción 5: mayo,2,C,p5g5,p5g5,"05,blanco"
Pregunta 5g Opción 6: junio,2,C,p5g6,p5g6,"06,blanco"
Pregunta 5g Opción 7: julio,2,C,p5g7,p5g7,"07,blanco"
Pregunta 5g Opción 8: agosto,2,C,p5g8,p5g8,"08,blanco"
Pregunta 5g Opción 9: septiembre,2,C,p5g9,p5g9,"09,blanco"
Pregunta 5g Opción 10: octubre,2,C,p5g10,p5g10,"10,blanco"
Pregunta 5g Opción 11: noviembre,2,C,p5g11,p5g11,"11,blanco"
Pregunta 5g Opción 12: diciembre,2,C,p5g12,p5g12,"12,blanco"
Pregunta 5g Opción 13: Varían los meses en que trabaja,2,C,p5g13,p5g13,"13,blanco"
Pregunta 5g Opción 14: Trabaja todos los meses del año,2,C,p5g14,p5g14,"14,blanco"
Pregunta 5g Opción 15: Tiene menos de un año en este trabajo,2,C,p5g15,p5g15,"15,blanco"
Pregunta 5g Opción 99: no sabe,2,C,p5g99,p5g99,"99,blanco"
Pregunta 5h ¿Cuál es el motivo principal por el que ... no trabaja todos los meses del año?,1,C,p5h,p5h,"1-6,9"
Urbano/Rural,1,N,ur,ur,[1-2]
Tipo de entrevista,1,C,tipo,tipo,[1-2]
Mes calendario,2,C,mes_cal,mes_cal,"01-12, 96-99"
Ponderador trimestral,6,N,fac_tri,,1-999999
Ponderador mensual,6,N,fac_men,,1-999999
Clave del municipio,3,C,cve_mun,cve_mun,001-575
Clave geoestadística,5,C,cvegeo,,01001-32999
