columna,modulo_origen,variable_original,descripcion,dtype,no_nulos_%,n_unicos
ingocup,sdem,ingocup,Ingreso mensual,int64,100.0,1490
ing_x_hrs,sdem,ing_x_hrs,Promedio de ingreso por hora trabajada,float64,100.0,6003
tpg_p8a,sdem,tpg_p8a,Sí buscó trabajo,int64,100.0,2
tcco,sdem,tcco,"Clasificación de la población en ocupados que trabajan menos de 35 hrs., más de 35 hrs, y más de 48 hrs.",int64,100.0,4
cp_anoc,sdem,cp_anoc,Clasificación de la población cuenta propia en actividades no calificadas,int64,100.0,2
imssissste,sdem,imssissste,Instituciones de atención médica,int64,100.0,6
ma48me1sm,sdem,ma48me1sm,Población ocupada que trabaja más de 48 horas y gana menos de 1 salario mínimo,int64,100.0,2
p14apoyos,sdem,p14apoyos,Clasificación de la población por apoyos económicos,int64,100.0,4
scian,sdem,scian,Clasificación de actividades económicas con base al sistema de clasificación industrial de América del Norte,int64,100.0,22
t_tra,sdem,t_tra,Total de trabajos,int64,100.0,3
emp_ppal,sdem,emp_ppal,Clasificación de empleos formales e informales de la primera actividad,int64,100.0,3
tue_ppal,sdem,tue_ppal,Tipo de unidad económica del trabajo principal,int64,100.0,3
trans_ppal,sdem,trans_ppal,Trabajadores transfronterizos del trabajo principal,int64,100.0,2
mh_fil2,sdem,mh_fil2,Filas agregadas de la matriz Hussmanns del trabajo principal,int64,100.0,5
mh_col,sdem,mh_col,Columnas de la matriz Hussmanns del trabajo principal,int64,100.0,10
sec_ins,sdem,sec_ins,Sectores institucionales del trabajo principal,int64,100.0,12
tipo,sdem,tipo,Tipo de entrevista,string,100.0,2
mes_cal,sdem,mes_cal,Mes calendario,string,100.0,4
cvegeo,sdem,cvegeo,Clave geoestadistíca,object,100.0,1038
c1_r_def,coe1,r_def,Resultado definitivo de la entrevista,float64,84.5,1
c1_upm,coe1,upm,Unidad primaria de muestreo,string,84.5,21171
c1_d_sem,coe1,d_sem,Distribución semanal,string,84.5,65
c1_n_pro_viv,coe1,n_pro_viv,Número progresivo de la vivienda,string,84.5,471
c1_n_ent,coe1,n_ent,Número de entrevista o visita,string,84.5,5
c1_per,coe1,per,Periodo,string,84.5,1
c1_eda,coe1,eda,Edad,float64,84.5,87
c1_n_inf,coe1,n_inf,Renglón del Informante,float64,84.5,19
c1_p1,coe1,p1,Pregunta 1 Ahora le voy a preguntar por la situación laboral de …¿La semana pasada trabajó por lo menos una hora?,float64,84.5,2
c1_p1a1,coe1,p1a1,Pregunta 1a Opción 1: realizar una actividad que le proporcionó ingresos?,object,84.5,2
c1_p1a2,coe1,p1a2,Pregunta 1a Opción 2: ayudar en las tierras o en el negocio de un familiar o de otra persona?,object,84.5,2
c1_p1a3,coe1,p1a3,Pregunta 1a Opción 3: no trabajó la semana pasada,object,84.5,2
c1_p1b,coe1,p1b,"Pregunta 1b Aunque ya me dijo que ... no trabajó la semana pasada, ¿tiene algún empleo, negocio o realiza alguna actividad por su cuenta?",object,84.5,3
c1_p1c,coe1,p1c,Pregunta 1c ¿Cuál es la razón principal por la que ... no trabajó la semana pasada?,object,84.5,14
c1_p1d,coe1,p1d,Pregunta 1d Durante este periodo de ausencia ¿... recibe sueldo o ganancias?,object,84.5,4
c1_p1e,coe1,p1e,Pregunta 1e ¿En cuánto tiempo regresará ... a este mismo trabajo?,object,84.5,7
c1_p2_1,coe1,p2_1,Pregunta 2 Opción 1: buscar trabajo en otro país o hacer preparativos para cruzar la frontera?,object,84.5,2
c1_p2_2,coe1,p2_2,Pregunta 2 Opción 2: buscar trabajo aquí en el país,object,84.5,2
c1_p2_3,coe1,p2_3,Pregunta 2 Opción 3: poner un negocio o realizar una actividad por su cuenta sin poder todavía comenzar?,object,84.5,2
c1_p2_4,coe1,p2_4,Pregunta 2 Opción 4: Entonces ¿no ha tratado de buscar trabajo?,object,84.5,2
c1_p2_9,coe1,p2_9,Pregunta 2 Opción 9: No sabe,object,84.5,2
c1_p2a_dia,coe1,p2a_dia,Pregunta 2a Día en que comenzó,object,84.5,33
c1_p2a_sem,coe1,p2a_sem,Pregunta 2a Semana en que comenzó,object,84.5,6
c1_p2a_mes,coe1,p2a_mes,Pregunta 2a Mes en que comenzó,object,84.5,14
c1_p2a_anio,coe1,p2a_anio,Pregunta 2a Año en que comenzó,object,84.5,12
c1_p2b_dia,coe1,p2b_dia,Pregunta 2b Día de la última vez,object,84.5,33
c1_p2b_sem,coe1,p2b_sem,Pregunta 2b Semana de la última vez,object,84.5,6
c1_p2b_mes,coe1,p2b_mes,Pregunta 2b Mes de la última vez,object,84.5,14
c1_p2b_anio,coe1,p2b_anio,Pregunta 2b Año de la última vez,object,84.5,8
c1_p2b,coe1,p2b,Pregunta 2b ¿En qué fecha fue la última vez que ... buscó trabajo (o terminó con los preparativos para poner el negocio)?,object,84.5,6
c1_p2c,coe1,p2c,Pregunta 2c ¿... estaba dispuesto a trabajar la semana pasada?,object,84.5,4
c1_p2d1,coe1,p2d1,Pregunta 2d Opción 1: acudió directamente al lugar de trabajo,object,84.5,2
c1_p2d2,coe1,p2d2,Pregunta 2d Opción 2: hizo trámites en una agencia o bolsa de trabajo privada,object,84.5,2
c1_p2d3,coe1,p2d3,Pregunta 2d Opción 3: hizo trámites en un servicio público de colocación,object,84.5,2
c1_p2d4,coe1,p2d4,Pregunta 2d Opción 4: hizo trámites en algún programa de empleo temporal del gobierno,object,84.5,2
c1_p2d5,coe1,p2d5,Pregunta 2d Opción 5: hizo trámites o realizó alguna actividad para iniciar un negocio por su cuenta,object,84.5,2
c1_p2d6,coe1,p2d6,Pregunta 2d Opción 6: puso o contestó un anuncio en internet,object,84.5,2
c1_p2d7,coe1,p2d7,"Pregunta 2d Opción 7: puso o contestó un anuncio en algún lugar público o en medios de comunicación (periódico, radio)",object,84.5,2
c1_p2d8,coe1,p2d8,Pregunta 2d Opción 8: acudió a un sindicato o gremio,object,84.5,2
c1_p2d9,coe1,p2d9,Pregunta 2d Opción 9: pidió a conocidos o familiares que lo recomendaran o le avisaran de algún trabajo,object,84.5,2
c1_p2d10,coe1,p2d10,Pregunta 2d Opción 10: solo consultó el anuncio clasificado,object,84.5,2
c1_p2d11,coe1,p2d11,Pregunta 2d Opción 11: otra actividad,object,84.5,2
c1_p2d99,coe1,p2d99,Pregunta 2d Opción 99: no sabe,object,84.5,2
c1_p2e,coe1,p2e,Pregunta 2e ¿... es,object,84.5,8
c1_p2f,coe1,p2f,"Pregunta 2f Actualmente, ¿... tiene necesidad de trabajar?",object,84.5,5
c1_p2g1,coe1,p2g1,"Pregunta 2g ¿Hay alguna otra razón, además de ser (menciona lo que contestaron en 2e), por la que ... no esté buscando trabajo?",object,84.5,4
c1_p2g2,coe1,p2g2,Pregunta 2g Opciones de respuesta cuando P2G1=1,object,84.5,13
c1_p2h1,coe1,p2h1,Pregunta 2h Opción 1: un pago o salario?,object,84.5,2
c1_p2h2,coe1,p2h2,Pregunta 2h Opción 2: Por su cuenta?,object,84.5,2
c1_p2h3,coe1,p2h3,Pregunta 2h Opción 3: ayudando en el negocio o actividad económica de alguna persona?,object,84.5,2
c1_p2h4,coe1,p2h4,Pregunta 2h Opción 4: nunca ha trabajado,object,84.5,2
c1_p2h9,coe1,p2h9,Pregunta 2h Opción 9: no sabe,object,84.5,2
c1_p3,coe1,p3,"Pregunta 3 Si…tiene más de un trabajo, hablemos del principal. ¿Cuáles son las tareas o funciones principales que…desempeña en su trabajo?",object,84.5,485
c1_p3a,coe1,p3a,Pregunta 3a ¿En su trabajo ... tiene un jefe(a) o superior?,object,84.5,3
c1_p3b,coe1,p3b,"Pregunta 3b Entonces, ¿... se dedica a un negocio o actividad por su cuenta?",object,84.5,3
c1_p3c1,coe1,p3c1,"Pregunta 3c Opción 1: a una sola empresa, negocio o intermediario?",object,84.5,2
c1_p3c2,coe1,p3c2,"Pregunta 3c Opción 2: a varios negocios, empresas o intermediarios?",object,84.5,2
c1_p3c3,coe1,p3c3,Pregunta 3c Opción 3: directamente al público?,object,84.5,2
c1_p3c4,coe1,p3c4,Pregunta 3c Opción 4: es autoconsumo agropecuario,object,84.5,2
c1_p3c9,coe1,p3c9,Pregunta 3c Opción 9: no sabe,object,84.5,2
c1_p3d,coe1,p3d,Pregunta 3d ¿... tiene empleados o le ayudan personas en su negocio o actividad?,object,84.5,4
c1_p3e,coe1,p3e,Pregunta 3e ¿... tiene,object,84.5,3
c1_p3f1,coe1,p3f1,Pregunta 3f ¿Cuántos puestos o establecimientos (o en su caso vehículos) forman este negocio o empresa?,object,84.5,5
c1_p3f2,coe1,p3f2,"Pregunta 3f ¿Más de uno?, ¿Cuántos?",object,84.5,17
c1_p3g1_1,coe1,p3g1_1,Pregunta 3g Opción 1: trabajadores que reciben un pago?,object,84.5,2
c1_p3g1_2,coe1,p3g1_2,Pregunta 3g Número de trabajadores con pago,object,84.5,47
c1_p3g2_1,coe1,p3g2_1,Pregunta 3g Opción 2: socios?,object,84.5,2
c1_p3g2_2,coe1,p3g2_2,Pregunta 3g Número de socios,object,84.5,25
c1_p3g3_1,coe1,p3g3_1,Pregunta 3g Opción 3: trabajadores sin pago?,object,84.5,2
c1_p3g3_2,coe1,p3g3_2,Pregunta 3g Número de trabajadores sin pago,object,84.5,9
c1_p3g4_1,coe1,p3g4_1,Pregunta 3g Opción 4: no sabe qué tipo de trabajadores son,object,84.5,2
c1_p3g4_2,coe1,p3g4_2,Pregunta 3g Número de trabajadores sin tipo,object,84.5,4
c1_p3g9,coe1,p3g9,Pregunta 3g Opción 9: no sabe,object,84.5,2
c1_p3g_tot,coe1,p3g_tot,Pregunta 3g total Sumatoria de número de trabajadores,object,84.5,66
c1_p3h,coe1,p3h,Pregunta 3h ¿En este trabajo ...,object,84.5,4
c1_p3i,coe1,p3i,Pregunta 3i ¿En este empleo ... Pertenece a algún sindicato?,object,84.5,4
c1_p3j,coe1,p3j,Pregunta 3j ¿En este empleo ... cuenta con un contrato por escrito?,object,84.5,4
c1_p3k1,coe1,p3k1,Pregunta 3k ¿El contrato de … es,object,84.5,4
c1_p3k2,coe1,p3k2,Pregunta 3k Desglose de contrato temporal,object,84.5,5
c1_p3l1,coe1,p3l1,Pregunta 3l Opción 1: aguinaldo?,object,84.5,2
c1_p3l2,coe1,p3l2,Pregunta 3l Opción 2: vacaciones con goce de sueldo?,object,84.5,2
c1_p3l3,coe1,p3l3,Pregunta 3l Opción 3: reparto de utilidades?,object,84.5,2
c1_p3l4,coe1,p3l4,Pregunta 3l Opción 4: ninguna de las anteriores,object,84.5,2
c1_p3l5,coe1,p3l5,Pregunta 3l Opción 5: no le dan nada,object,84.5,2
c1_p3l9,coe1,p3l9,Pregunta 3l Opción 9: no sabe,object,84.5,2
c1_p3m1,coe1,p3m1,"Pregunta 3m Opción 1: crédito para vivienda (Infonavit, Fovissste)?",object,84.5,2
c1_p3m2,coe1,p3m2,Pregunta 3m Opción 2: guardería?,object,84.5,2
c1_p3m3,coe1,p3m3,Pregunta 3m Opción 3: tiempo para cuidados maternos o paternos?,object,84.5,2
c1_p3m4,coe1,p3m4,Pregunta 3m Opción 4: fondo de retiro (SAR o Afore)?,object,84.5,2
c1_p3m5,coe1,p3m5,Pregunta 3m Opción 5: seguro de vida?,object,84.5,2
c1_p3m6,coe1,p3m6,Pregunta 3m Opción 6 seguro privado para gastos médicos?,object,84.5,2
c1_p3m7,coe1,p3m7,Pregunta 3m Opción 7: préstamos personales y/o caja de ahorro?,object,84.5,2
c1_p3m8,coe1,p3m8,Pregunta 3m Opción 8: ninguna de las anteriores,object,84.5,2
c1_p3m9,coe1,p3m9,Pregunta 3m Opción 9: no sabe,object,84.5,2
c1_p3n,coe1,p3n,Pregunta 3n ¿Cómo se enteró ... de este empleo?,object,84.5,12
c1_p3o,coe1,p3o,"Pregunta 3o Para conseguir o conservar este trabajo, ¿ ... se vio obligado a cambiar de ciudad o localidad?",object,84.5,3
c1_p3p1,coe1,p3p1,"Pregunta 3p Antes de este cambio, ¿en qué estado de la República o país vivía ...?",object,84.5,5
c1_p3p2,coe1,p3p2,Pregunta 3p Clave asignada a la descripción del lugar de residencia,object,84.5,55
c1_p3q,coe1,p3q,"Pregunta 3q ¿Aproximadamente cuántas personas, incluyendo al dueño, laboran donde trabaja ...?",object,84.5,13
c1_p3r_anio,coe1,p3r_anio,Pregunta 3r ¿En qué año …,object,84.5,80
c1_p3r_mes,coe1,p3r_mes,Pregunta 3r,object,84.5,14
c1_p3r,coe1,p3r,Pregunta 3r,object,84.5,5
c1_p3s,coe1,p3s,Pregunta 3s ¿Desde entonces …,object,84.5,4
c1_p3t_anio,coe1,p3t_anio,Pregunta 3t ¿En qué año …,object,84.5,38
c1_p3t_mes,coe1,p3t_mes,Pregunta 3t,object,84.5,14
c1_p4,coe1,p4,"Pregunta 4 ¿Cuál es el nombre de la empresa, negocio o institución para la que ... trabaja o ayuda?",object,84.5,6
c1_p4_1,coe1,p4_1,Pregunta 4 Campo exclusivo del sistema,object,84.5,1
c1_p4_2,coe1,p4_2,Pregunta 4 Campo exclusivo del sistema,object,84.5,1
c1_p4_3,coe1,p4_3,Pregunta 4 Campo exclusivo del sistema,object,84.5,2
c1_p4a,coe1,p4a,"Pregunta 4a ¿A qué se dedica esta empresa, negocio o institución?",object,84.5,177
c1_p4a_1,coe1,p4a_1,Pregunta 4a Campo exclusivo del sistema,object,84.5,1
c1_p4b,coe1,p4b,Pregunta 4b SÓLO PARA EL ENTREVISTADOR,object,84.5,6
c1_p4c,coe1,p4c,"Pregunta 4c Entonces, ¿estamos hablando de que este negocio es …",object,84.5,4
c1_p4d1,coe1,p4d1,"Pregunta 4d Entonces, ¿ … trabaja para",object,84.5,4
c1_p4d2,coe1,p4d2,Pregunta 4d Opciones de respuesta cuando,object,84.5,10
c1_p4d3,coe1,p4d3,Pregunta 4d Campo exclusivo del sistema,object,84.5,2
c1_p4e,coe1,p4e,Pregunta 4e ¿El negocio o actividad,object,84.5,6
c1_p4f,coe1,p4f,"Pregunta 4f Entonces, ¿en dónde se realizan las actividades de este negocio?",object,84.5,13
c1_p4g,coe1,p4g,Pregunta 4g En este negocio o actividad,object,84.5,6
c1_p4h,coe1,p4h,Pregunta 4h ¿Normalmente en qué lugar trabaja ... ?,object,84.5,7
c1_p4i,coe1,p4i,Pregunta 4i La empresa a la que pertenece ... ¿tiene oficinas o establecimientos,object,84.5,6
c1_p4i_1,coe1,p4i_1,Pregunta 4i Campo exclusivo del sistema,object,84.5,2
c1_p5,coe1,p5,Pregunta 5 ¿La jornada de trabajo de ... es,object,84.5,6
c1_p5a,coe1,p5a,"Pregunta 5a La semana pasada, ¿... tuvo poco trabajo que hacer?",object,84.5,5
c1_p5b,coe1,p5b,Pregunta 5b ¿Le preocupa a ... esta situación?,object,84.5,8
c1_p5c_hlu,coe1,p5c_hlu,Pregunta 5c Horas lunes,object,84.5,27
c1_p5c_mlu,coe1,p5c_mlu,Pregunta 5c Minutos lunes,object,84.5,27
c1_p5c_hma,coe1,p5c_hma,Pregunta 5c Horas martes,object,84.5,27
c1_p5c_mma,coe1,p5c_mma,Pregunta 5c Minutos martes,object,84.5,29
c1_p5c_hmi,coe1,p5c_hmi,Pregunta 5c Horas miércoles,object,84.5,27
c1_p5c_mmi,coe1,p5c_mmi,Pregunta 5c Minutos miércoles,object,84.5,31
c1_p5c_hju,coe1,p5c_hju,Pregunta 5c Horas jueves,object,84.5,27
c1_p5c_mju,coe1,p5c_mju,Pregunta 5c Minutos jueves,object,84.5,29
