cvegeo,mun_n_muestra,mun_pob_expandida,mun_pob_ocupada,mun_tasa_desocup,mun_tasa_particip,mun_ing_medio_ocup,mun_ing_mediana_ocup,mun_ing_p25_ocup,mun_ing_p75_ocup,mun_esc_media,mun_hrs_media_ocup,mun_cobertura_ing_%,mun_tasa_informalidad,mun_acceso_salud,mun_ing_mediana_sm
13022,111,41958.0,21546.0,0.0,0.6477272727272727,7482.538461538462,8170.0,5267.5,8600.0,6.7207207207207205,43.421052631578945,68.42105263157895,0.8596491228070176,0.10526315789473684,0.5833855145063661
13027,129,52911.0,21447.0,0.0,0.5806094489496554,5009.537915952479,3954.1304347826085,2304.498792270532,6450.0,4.09837273912797,37.81610481652446,77.35849056603774,0.9832610621532148,0.0,0.3590064704654561
13028,44,6644.0,3624.0,0.0,0.6764705882352942,9131.052631578947,7310.0,5370.0,10240.0,8.44186046511628,44.708333333333336,79.16666666666666,0.7083333333333334,0.125,0.6731371321227301
13029,64,48768.0,22860.0,0.03225806451612903,0.6458333333333334,10580.833333333334,6235.0,3935.0,11825.0,6.28125,32.4,80.0,0.6333333333333333,0.3,0.5385097056981841
13030,53,40916.0,19300.0,0.0,0.6097560975609756,7919.523809523809,7740.0,4945.0,11126.249999999998,7.245283018867925,38.68,84.0,0.84,0.08,0.8077645585472761
13037,37,31820.0,10320.0,0.14285714285714285,0.5833333333333334,5394.833333333333,4730.0,2634.0,7740.0,5.27027027027027,41.333333333333336,100.0,0.9166666666666666,0.08333333333333333,0.49363389689000214
13038,85,40800.0,18720.0,0.0,0.5692307692307692,6958.4375,7095.0,4300.0,9245.0,6.364705882352941,33.17948717948718,82.05128205128204,0.9230769230769231,0.07692307692307693,0.5833855145063661
13041,50,43350.0,22542.0,0.0,0.6341463414634146,6107.727272727273,4730.0,2150.0,9000.0,8.14,30.115384615384617,84.61538461538461,0.8846153846153846,0.038461538461538464,0.3029117094552285
13042,99,68109.0,34144.0,0.0,0.6464813054191971,9345.064708473083,8600.0,3991.6767143933685,12900.0,8.492225697044443,39.02621251171509,88.0,0.7521087160262419,0.20378397375820057,0.6948479604986554
13044,49,35819.0,20468.0,0.0,0.7,6007.185185185185,6450.0,2580.0,7935.0,5.836734693877551,40.785714285714285,96.42857142857143,0.9285714285714286,0.07142857142857142,0.6731371321227301
13048,3341,320416.0,154121.0,0.021031302403577416,0.5776178457672512,12537.373661022437,10000.0,6617.587349397587,15000.0,10.208013450724511,38.921924981021405,76.69359850839031,0.5401405389272066,0.3801818052050013,0.8975161761636402
13049,72,47952.0,19980.0,0.0,0.5384615384615384,7570.304347826087,5160.0,1988.75,9674.999999999998,6.541666666666667,34.8,76.66666666666667,0.8333333333333334,0.03333333333333333,0.4696305572949279
13051,2140,223740.0,108822.0,0.019939479087863397,0.6061298951364539,11226.920004358775,10000.0,6604.674418604651,14000.0,9.428280804982629,41.500937310470306,75.4066985645933,0.5506055760783665,0.4039532447483046,0.8354363927313202
13052,50,39000.0,17940.0,0.041666666666666664,0.6666666666666666,8922.5,6665.0,5160.0,9675.0,7.86,41.04347826086956,69.56521739130434,0.8260869565217391,0.17391304347826086,0.5385097056981841
13054,48,11328.0,5664.0,0.04,0.5714285714285714,9210.625,7095.0,5080.0,8800.0,9.9375,41.791666666666664,66.66666666666666,0.7083333333333334,0.20833333333333334,0.530160718012941
13055,145,72181.0,31157.0,0.0,0.5645621181262729,5723.839119502404,5160.0,3025.523843930636,8600.0,7.9477147725855835,31.64004878518471,71.64179104477611,0.9137593478191097,0.04355361555990628,0.3590064704654561
