cve_ent,ent_n_muestra,ent_pob_expandida,ent_pob_ocupada,ent_tasa_desocup,ent_tasa_particip,ent_ing_medio_ocup,ent_ing_mediana_ocup,ent_ing_p25_ocup,ent_ing_p75_ocup,ent_esc_media,ent_hrs_media_ocup,ent_cobertura_ing_%,ent_tasa_informalidad,ent_acceso_salud,ent_ing_mediana_sm
17,10746,1988503.0,899152.0,0.019155416313956838,0.5643132560188086,8179.106247710459,7740.0,5160.0,10000.0,8.531508322725148,41.66188030499849,50.6701868399675,0.6373249461715038,0.2859972507429222,0.14086829471926626
18,11320,1279298.0,664961.0,0.02024455540805156,0.6674614643784162,11215.724154591882,10000.0,6450.0,13000.0,8.303741358784668,39.08538094715329,86.30698309714872,0.5819799958193037,0.34746849815252323,0.939261114589856
19,12674,6234433.0,2922658.0,0.028346802760575985,0.6053720631919248,14781.830424054728,12040.0,8600.0,17200.0,9.069208889235219,40.36066929486789,63.62404741744284,0.3490411810071517,0.6008479267844544,0.8944931657443722
20,13733,4178688.0,1861138.0,0.011357654291935434,0.5818526810649054,8339.20932016889,7740.0,3010.0,11100.970149253719,6.76615161624571,37.54062084595554,56.893844221105525,0.8028141921770444,0.16310235995396366,0.17950323523272804
21,14630,6638706.0,3108174.0,0.017817338155913087,0.6142642331479352,8393.62361894376,7310.0,4300.0,10320.0,7.671397671908787,41.136740092414385,58.96088733216579,0.7123973754365103,0.2270107786758399,0.3590064704654561
22,11155,2535155.0,1206534.0,0.021582162076247132,0.6100523306911052,11683.75161604606,10000.0,7740.0,12900.0,8.77641078818452,41.42158944546942,51.041862211376014,0.3912786543934941,0.5166029303774282,0.15706533082863702
23,9173,1975372.0,1014147.0,0.02642199544961456,0.666718252039281,12846.656259043566,11000.0,8000.0,16000.0,8.535304194621155,42.11726899552038,71.33522108473099,0.4256532830053237,0.5037997450073806,0.8975161761636402
24,11254,2951151.0,1292008.0,0.029996351247257805,0.572875402089195,10367.60007098869,8600.0,5160.0,12900.0,7.9649284840108185,37.861456740205945,58.79306910973909,0.5604291923889017,0.3839101615469873,0.4174493842621582
25,10897,3085699.0,1413560.0,0.025829749696769214,0.5825134241059552,12314.61811680164,10000.0,7000.0,15000.0,8.903680833777658,36.19226774951187,70.88084939048368,0.4887086504994482,0.4451844987124706,0.8526403673554581
26,10190,3035624.0,1411963.0,0.030050669502400207,0.6062540029291715,12981.610028618223,10750.0,8000.0,15050.0,8.794869197491145,37.01672281780755,71.98196351711417,0.42985191538305184,0.498758111933528,0.8948545861297539
27,11447,2578825.0,1115947.0,0.03495012807408061,0.5749872119424143,8788.853886684705,7740.0,4300.0,10750.0,8.116688997012961,38.188948937539145,68.82685926215109,0.6646731430793756,0.3003529737523377,0.5385097056981841
28,15158,3602540.0,1673411.0,0.026688815254141664,0.5885328130623066,12375.969643498309,11149.815880322209,7740.0,14000.0,8.773368383788581,39.940553755174314,69.76241900647948,0.44408157948047433,0.502872277043715,0.8016405667412378
29,11868,1426175.0,661183.0,0.025061230147203024,0.6054319209738754,8478.104176179533,7740.0,4300.0,10750.0,8.209323171891638,41.626530022701736,60.46977421704297,0.7140534466252157,0.2561983596069469,0.3590064704654561
30,17676,8066173.0,3368103.0,0.023125803220975932,0.533218443681108,8269.729661287316,7525.0,4300.0,10320.0,7.5800010998373635,39.116265149848445,67.60397593512948,0.6907757868449985,0.25594882341781117,0.5385097056981841
31,10965,2456821.0,1248996.0,0.015393493062404071,0.643140582635109,10291.97452607717,8600.0,5160.0,12900.0,8.163790319643075,37.629369509590106,74.13266223260831,0.5953069505426759,0.35679777997687745,0.6731371321227301
32,11457,1689186.0,657018.0,0.03018879064755635,0.5211031282904582,10041.759843730773,8600.0,6450.0,12480.802030456853,7.545162956723829,39.76583137752695,63.98153975246487,0.61066059072963,0.31999579920184834,0.5844291379670215
